evidence_kind,turn_index,seq,event_id,decision_id,player_id,evidence_type,source_path,summary
event,0,0,mock-3676466999-527872e4-evt-000000,,,GAME_STARTED,run/events.jsonl,GAME_STARTED: {}
event,0,1,mock-3676466999-527872e4-evt-000001,,,TURN_STARTED,run/events.jsonl,TURN_STARTED: {}
event,0,2,mock-3676466999-527872e4-evt-000002,,Claude Opus 4.8,DICE_ROLLED,run/events.jsonl,Claude Opus 4.8 rolled 6+5
event,0,3,mock-3676466999-527872e4-evt-000003,,Claude Opus 4.8,PLAYER_MOVED,run/events.jsonl,Claude Opus 4.8 moved 0→11
event,0,4,mock-3676466999-527872e4-evt-000004,,,LLM_DECISION_REQUESTED,run/events.jsonl,"LLM_DECISION_REQUESTED: {""decision_id"":""mock-3676466999-527872e4-dec-000000"",""decision_type"":""BUY_OR_AUCTION_DECISION"",""player_id"":""Claude Opus 4.8""}"
event,0,5,mock-3676466999-527872e4-evt-000005,mock-3676466999-527872e4-dec-000000,Claude Opus 4.8,LLM_DECISION_RESPONSE,run/events.jsonl,"LLM_DECISION_RESPONSE: {""action_name"":""buy_property"",""decision_id"":""mock-3676466999-527872e4-dec-000000"",""error"":null,""player_id"":""Claude Opus 4.8"",""valid"":true}"
event,0,6,mock-3676466999-527872e4-evt-000006,mock-3676466999-527872e4-dec-000000,Claude Opus 4.8,LLM_PUBLIC_MESSAGE,run/events.jsonl,"LLM_PUBLIC_MESSAGE: {""decision_id"":""mock-3676466999-527872e4-dec-000000"",""message"":""I'll take St. Charles Place."",""player_id"":""Claude Opus 4.8""}"
event,0,7,mock-3676466999-527872e4-evt-000007,mock-3676466999-527872e4-dec-000000,Claude Opus 4.8,LLM_PRIVATE_THOUGHT,run/events.jsonl,"LLM_PRIVATE_THOUGHT: {""decision_id"":""mock-3676466999-527872e4-dec-000000"",""player_id"":""Claude Opus 4.8"",""thought"":""Pink is a high-traffic, high-ROI group near jail. $140 for a monopoly cornerstone is worth it early. Cash stays at $1360, plenty for flexibility. Start building toward the pink monopoly.""}"
event,0,8,mock-3676466999-527872e4-evt-000008,mock-3676466999-527872e4-dec-000000,Claude Opus 4.8,PROPERTY_PURCHASED,run/events.jsonl,Claude Opus 4.8 acquired space 11 for $140
event,0,9,mock-3676466999-527872e4-evt-000009,mock-3676466999-527872e4-dec-000000,Claude Opus 4.8,CASH_CHANGED,run/events.jsonl,Claude Opus 4.8 cash -140 (buy_property)
event,0,10,mock-3676466999-527872e4-evt-000010,mock-3676466999-527872e4-dec-000000,,LLM_DECISION_REQUESTED,run/events.jsonl,"LLM_DECISION_REQUESTED: {""decision_id"":""mock-3676466999-527872e4-dec-000001"",""decision_type"":""POST_TURN_ACTION_DECISION"",""player_id"":""Claude Opus 4.8""}"
event,0,11,mock-3676466999-527872e4-evt-000011,mock-3676466999-527872e4-dec-000001,Claude Opus 4.8,LLM_DECISION_RESPONSE,run/events.jsonl,"LLM_DECISION_RESPONSE: {""action_name"":""end_turn"",""decision_id"":""mock-3676466999-527872e4-dec-000001"",""error"":null,""player_id"":""Claude Opus 4.8"",""valid"":true}"
event,0,12,mock-3676466999-527872e4-evt-000012,mock-3676466999-527872e4-dec-000001,Claude Opus 4.8,LLM_PUBLIC_MESSAGE,run/events.jsonl,"LLM_PUBLIC_MESSAGE: {""decision_id"":""mock-3676466999-527872e4-dec-000001"",""message"":""St. Charles is a good start. Onward."",""player_id"":""Claude Opus 4.8""}"
