decision_id,turn_index,turn_decision_ordinal,player_id,decision_type,action_id,action_type,action_args_json,resolution_status,valid,attempt_count,invalid_attempt_count,retry_count,retry_status,fallback_used,fallback_reason,event_seq_start,event_seq_end,event_ids_json,decision_started_sources_json,decision_resolved_source,action_source,attempt_sources_json,prompt_response_sources_json,snapshot_source,review_block_id,mechanism_tags_json,has_public_message,has_private_thought,qualitative_synopsis,evidence_ids_json
mock-83265-81ed4937-dec-000000,0,0,OpenAI GPT 5.5,BUY_OR_AUCTION_DECISION,mock-83265-81ed4937-dec-000000,buy_property,{},applied,true,1,0,0,first_attempt,false,,5,10,"[""mock-83265-81ed4937-evt-000005"",""mock-83265-81ed4937-evt-000006"",""mock-83265-81ed4937-evt-000007"",""mock-83265-81ed4937-evt-000008"",""mock-83265-81ed4937-evt-000009"",""mock-83265-81ed4937-evt-000010""]","[""run/decisions.jsonl"",""run/prompts/decision_mock-83265-81ed4937-dec-000000_user.json""]",run/decisions.jsonl,run/actions.jsonl,"[""E-ATT-000000-A0""]","[""run/prompts/decision_mock-83265-81ed4937-dec-000000_user.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000000_response.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000000_parsed.json"",""quality_check/decision_mock-83265-81ed4937-dec-000000_request.txt"",""quality_check/decision_mock-83265-81ed4937-dec-000000_response.txt""]",run/state/turn_0000.json,RB-000-002,"[""buy-property"",""cash-changed"",""property-purchased""]",true,true,"OpenAI GPT 5.5 chose buy_property in BUY_OR_AUCTION_DECISION; 1 attempt(s), 0 invalid, fallback=False.","[""E-DEC-000000"",""E-ACT-000000"",""E-ATT-000000-A0"",""E-EVT-000005"",""E-EVT-000006"",""E-EVT-000007"",""E-EVT-000008"",""E-EVT-000009"",""E-EVT-000010""]"
mock-83265-81ed4937-dec-000001,0,1,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,mock-83265-81ed4937-dec-000001,end_turn,{},applied,true,1,0,0,first_attempt,false,,11,14,"[""mock-83265-81ed4937-evt-000011"",""mock-83265-81ed4937-evt-000012"",""mock-83265-81ed4937-evt-000013"",""mock-83265-81ed4937-evt-000014""]","[""run/decisions.jsonl"",""run/prompts/decision_mock-83265-81ed4937-dec-000001_user.json""]",run/decisions.jsonl,run/actions.jsonl,"[""E-ATT-000001-A0""]","[""run/prompts/decision_mock-83265-81ed4937-dec-000001_user.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000001_response.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000001_parsed.json"",""quality_check/decision_mock-83265-81ed4937-dec-000001_request.txt"",""quality_check/decision_mock-83265-81ed4937-dec-000001_response.txt""]",run/state/turn_0000.json,RB-000-002,"[""routine-turn-management""]",true,true,"OpenAI GPT 5.5 chose end_turn in POST_TURN_ACTION_DECISION; 1 attempt(s), 0 invalid, fallback=False.","[""E-DEC-000001"",""E-ACT-000001"",""E-ATT-000001-A0"",""E-EVT-000011"",""E-EVT-000012"",""E-EVT-000013"",""E-EVT-000014""]"
mock-83265-81ed4937-dec-000002,1,0,Claude Opus 4.8,BUY_OR_AUCTION_DECISION,mock-83265-81ed4937-dec-000002,buy_property,{},applied,true,1,0,0,first_attempt,false,,19,24,"[""mock-83265-81ed4937-evt-000019"",""mock-83265-81ed4937-evt-000020"",""mock-83265-81ed4937-evt-000021"",""mock-83265-81ed4937-evt-000022"",""mock-83265-81ed4937-evt-000023"",""mock-83265-81ed4937-evt-000024""]","[""run/decisions.jsonl"",""run/prompts/decision_mock-83265-81ed4937-dec-000002_user.json""]",run/decisions.jsonl,run/actions.jsonl,"[""E-ATT-000002-A0""]","[""run/prompts/decision_mock-83265-81ed4937-dec-000002_user.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000002_response.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000002_parsed.json"",""quality_check/decision_mock-83265-81ed4937-dec-000002_request.txt"",""quality_check/decision_mock-83265-81ed4937-dec-000002_response.txt""]",run/state/turn_0001.json,RB-000-002,"[""buy-property"",""cash-changed"",""property-purchased""]",true,true,"Claude Opus 4.8 chose buy_property in BUY_OR_AUCTION_DECISION; 1 attempt(s), 0 invalid, fallback=False.","[""E-DEC-000002"",""E-ACT-000002"",""E-ATT-000002-A0"",""E-EVT-000019"",""E-EVT-000020"",""E-EVT-000021"",""E-EVT-000022"",""E-EVT-000023"",""E-EVT-000024""]"
mock-83265-81ed4937-dec-000003,1,1,Claude Opus 4.8,POST_TURN_ACTION_DECISION,mock-83265-81ed4937-dec-000003,end_turn,{},applied,true,1,0,0,first_attempt,false,,25,28,"[""mock-83265-81ed4937-evt-000025"",""mock-83265-81ed4937-evt-000026"",""mock-83265-81ed4937-evt-000027"",""mock-83265-81ed4937-evt-000028""]","[""run/decisions.jsonl"",""run/prompts/decision_mock-83265-81ed4937-dec-000003_user.json""]",run/decisions.jsonl,run/actions.jsonl,"[""E-ATT-000003-A0""]","[""run/prompts/decision_mock-83265-81ed4937-dec-000003_user.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000003_response.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000003_parsed.json"",""quality_check/decision_mock-83265-81ed4937-dec-000003_request.txt"",""quality_check/decision_mock-83265-81ed4937-dec-000003_response.txt""]",run/state/turn_0001.json,RB-000-002,"[""routine-turn-management""]",true,true,"Claude Opus 4.8 chose end_turn in POST_TURN_ACTION_DECISION; 1 attempt(s), 0 invalid, fallback=False.","[""E-DEC-000003"",""E-ACT-000003"",""E-ATT-000003-A0"",""E-EVT-000025"",""E-EVT-000026"",""E-EVT-000027"",""E-EVT-000028""]"
mock-83265-81ed4937-dec-000004,2,0,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,mock-83265-81ed4937-dec-000004,end_turn,{},applied,true,1,0,0,first_attempt,false,,35,38,"[""mock-83265-81ed4937-evt-000035"",""mock-83265-81ed4937-evt-000036"",""mock-83265-81ed4937-evt-000037"",""mock-83265-81ed4937-evt-000038""]","[""run/decisions.jsonl"",""run/prompts/decision_mock-83265-81ed4937-dec-000004_user.json""]",run/decisions.jsonl,run/actions.jsonl,"[""E-ATT-000004-A0""]","[""run/prompts/decision_mock-83265-81ed4937-dec-000004_user.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000004_response.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000004_parsed.json"",""quality_check/decision_mock-83265-81ed4937-dec-000004_request.txt"",""quality_check/decision_mock-83265-81ed4937-dec-000004_response.txt""]",run/state/turn_0002.json,RB-000-002,"[""routine-turn-management""]",true,true,"Gemini 3.1 Pro Preview chose end_turn in POST_TURN_ACTION_DECISION; 1 attempt(s), 0 invalid, fallback=False.","[""E-DEC-000004"",""E-ACT-000004"",""E-ATT-000004-A0"",""E-EVT-000035"",""E-EVT-000036"",""E-EVT-000037"",""E-EVT-000038""]"
mock-83265-81ed4937-dec-000005,3,0,Gemini 3.1 Pro Preview,POST_TURN_ACTION_DECISION,mock-83265-81ed4937-dec-000005,end_turn,{},applied,true,1,0,0,first_attempt,false,,43,46,"[""mock-83265-81ed4937-evt-000043"",""mock-83265-81ed4937-evt-000044"",""mock-83265-81ed4937-evt-000045"",""mock-83265-81ed4937-evt-000046""]","[""run/decisions.jsonl"",""run/prompts/decision_mock-83265-81ed4937-dec-000005_user.json""]",run/decisions.jsonl,run/actions.jsonl,"[""E-ATT-000005-A0""]","[""run/prompts/decision_mock-83265-81ed4937-dec-000005_user.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000005_response.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000005_parsed.json"",""quality_check/decision_mock-83265-81ed4937-dec-000005_request.txt"",""quality_check/decision_mock-83265-81ed4937-dec-000005_response.txt""]",run/state/turn_0003.json,RB-003-005,"[""routine-turn-management""]",true,true,"Gemini 3.1 Pro Preview chose end_turn in POST_TURN_ACTION_DECISION; 1 attempt(s), 0 invalid, fallback=False.","[""E-DEC-000005"",""E-ACT-000005"",""E-ATT-000005-A0"",""E-EVT-000043"",""E-EVT-000044"",""E-EVT-000045"",""E-EVT-000046""]"
mock-83265-81ed4937-dec-000006,4,0,Grok 4.3,POST_TURN_ACTION_DECISION,mock-83265-81ed4937-dec-000006,end_turn,{},applied,true,1,0,0,first_attempt,false,,51,54,"[""mock-83265-81ed4937-evt-000051"",""mock-83265-81ed4937-evt-000052"",""mock-83265-81ed4937-evt-000053"",""mock-83265-81ed4937-evt-000054""]","[""run/decisions.jsonl"",""run/prompts/decision_mock-83265-81ed4937-dec-000006_user.json""]",run/decisions.jsonl,run/actions.jsonl,"[""E-ATT-000006-A0""]","[""run/prompts/decision_mock-83265-81ed4937-dec-000006_user.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000006_response.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000006_parsed.json"",""quality_check/decision_mock-83265-81ed4937-dec-000006_request.txt"",""quality_check/decision_mock-83265-81ed4937-dec-000006_response.txt""]",run/state/turn_0004.json,RB-003-005,"[""routine-turn-management""]",true,true,"Grok 4.3 chose end_turn in POST_TURN_ACTION_DECISION; 1 attempt(s), 0 invalid, fallback=False.","[""E-DEC-000006"",""E-ACT-000006"",""E-ATT-000006-A0"",""E-EVT-000051"",""E-EVT-000052"",""E-EVT-000053"",""E-EVT-000054""]"
mock-83265-81ed4937-dec-000007,5,0,OpenAI GPT 5.5,BUY_OR_AUCTION_DECISION,mock-83265-81ed4937-dec-000007,buy_property,{},applied,true,1,0,0,first_attempt,false,,59,64,"[""mock-83265-81ed4937-evt-000059"",""mock-83265-81ed4937-evt-000060"",""mock-83265-81ed4937-evt-000061"",""mock-83265-81ed4937-evt-000062"",""mock-83265-81ed4937-evt-000063"",""mock-83265-81ed4937-evt-000064""]","[""run/decisions.jsonl"",""run/prompts/decision_mock-83265-81ed4937-dec-000007_user.json""]",run/decisions.jsonl,run/actions.jsonl,"[""E-ATT-000007-A0""]","[""run/prompts/decision_mock-83265-81ed4937-dec-000007_user.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000007_response.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000007_parsed.json"",""quality_check/decision_mock-83265-81ed4937-dec-000007_request.txt"",""quality_check/decision_mock-83265-81ed4937-dec-000007_response.txt""]",run/state/turn_0005.json,RB-003-005,"[""buy-property"",""cash-changed"",""property-purchased""]",true,true,"OpenAI GPT 5.5 chose buy_property in BUY_OR_AUCTION_DECISION; 1 attempt(s), 0 invalid, fallback=False.","[""E-DEC-000007"",""E-ACT-000007"",""E-ATT-000007-A0"",""E-EVT-000059"",""E-EVT-000060"",""E-EVT-000061"",""E-EVT-000062"",""E-EVT-000063"",""E-EVT-000064""]"
mock-83265-81ed4937-dec-000008,5,1,OpenAI GPT 5.5,POST_TURN_ACTION_DECISION,mock-83265-81ed4937-dec-000008,end_turn,{},applied,true,1,0,0,first_attempt,false,,65,68,"[""mock-83265-81ed4937-evt-000065"",""mock-83265-81ed4937-evt-000066"",""mock-83265-81ed4937-evt-000067"",""mock-83265-81ed4937-evt-000068""]","[""run/decisions.jsonl"",""run/prompts/decision_mock-83265-81ed4937-dec-000008_user.json""]",run/decisions.jsonl,run/actions.jsonl,"[""E-ATT-000008-A0""]","[""run/prompts/decision_mock-83265-81ed4937-dec-000008_user.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000008_response.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000008_parsed.json"",""quality_check/decision_mock-83265-81ed4937-dec-000008_request.txt"",""quality_check/decision_mock-83265-81ed4937-dec-000008_response.txt""]",run/state/turn_0005.json,RB-003-005,"[""routine-turn-management""]",true,true,"OpenAI GPT 5.5 chose end_turn in POST_TURN_ACTION_DECISION; 1 attempt(s), 0 invalid, fallback=False.","[""E-DEC-000008"",""E-ACT-000008"",""E-ATT-000008-A0"",""E-EVT-000065"",""E-EVT-000066"",""E-EVT-000067"",""E-EVT-000068""]"
mock-83265-81ed4937-dec-000009,6,0,Claude Opus 4.8,BUY_OR_AUCTION_DECISION,mock-83265-81ed4937-dec-000009,buy_property,{},applied,true,1,0,0,first_attempt,false,,73,78,"[""mock-83265-81ed4937-evt-000073"",""mock-83265-81ed4937-evt-000074"",""mock-83265-81ed4937-evt-000075"",""mock-83265-81ed4937-evt-000076"",""mock-83265-81ed4937-evt-000077"",""mock-83265-81ed4937-evt-000078""]","[""run/decisions.jsonl"",""run/prompts/decision_mock-83265-81ed4937-dec-000009_user.json""]",run/decisions.jsonl,run/actions.jsonl,"[""E-ATT-000009-A0""]","[""run/prompts/decision_mock-83265-81ed4937-dec-000009_user.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000009_response.json"",""run/prompts/decision_mock-83265-81ed4937-dec-000009_parsed.json"",""quality_check/decision_mock-83265-81ed4937-dec-000009_request.txt"",""quality_check/decision_mock-83265-81ed4937-dec-000009_response.txt""]",run/state/turn_0006.json,RB-006-008,"[""buy-property"",""cash-changed"",""property-purchased""]",true,true,"Claude Opus 4.8 chose buy_property in BUY_OR_AUCTION_DECISION; 1 attempt(s), 0 invalid, fallback=False.","[""E-DEC-000009"",""E-ACT-000009"",""E-ATT-000009-A0"",""E-EVT-000073"",""E-EVT-000074"",""E-EVT-000075"",""E-EVT-000076"",""E-EVT-000077"",""E-EVT-000078""]"
